rank,gene_symbol,gene_full_name,tp53_category,in_tp53_pathway,mean_abs_shap,mean_signed_shap
1,CDKN1A,CDKN1A (1026),TP53 direct target,True,1.2702674,0.0106706545
2,CDKN2A,CDKN2A (1029),wider pathway,True,0.39253363,0.0106523475
3,INPP5D,INPP5D (3635),other,False,0.33740076,0.018530518
4,PHLDA3,PHLDA3 (23612),TP53 direct target,True,0.31097123,0.0059692822
5,BTG2,BTG2 (7832),TP53 direct target,True,0.23003516,0.034175623
6,CYFIP2,CYFIP2 (26999),TP53 direct target,True,0.20599537,0.024748903
7,AKR1C3,AKR1C3 (8644),other,False,0.09815118,0.015932422
8,CNKSR1,CNKSR1 (10256),other,False,0.09760241,0.004471595
9,ACTA2,ACTA2 (59),other,False,0.09473249,0.00072424766
10,PHGDH,PHGDH (26227),other,False,0.09144461,-0.00020934007
11,CTHRC1,CTHRC1 (115908),other,False,0.08605806,0.0065553845
12,NECTIN4,NECTIN4 (81607),other,False,0.07859411,-0.0009308457
13,LXN,LXN (56925),other,False,0.07292162,-0.0019390314
14,TNFRSF10D,TNFRSF10D (8793),TP53 direct target,True,0.0702663,-0.002859659
15,VGLL1,VGLL1 (51442),other,False,0.07003394,0.0077713095
16,ST3GAL6,ST3GAL6 (10402),other,False,0.06985412,0.0022900854
17,FAS,FAS (355),TP53 direct target,True,0.06889774,0.009854895
18,SLFN5,SLFN5 (162394),other,False,0.068466015,0.01170086
19,PLEKHG4,PLEKHG4 (25894),other,False,0.068224505,0.008250999
20,TRIM22,TRIM22 (10346),other,False,0.0666908,0.0062198085
21,C16orf74,C16orf74 (404550),other,False,0.06451623,0.0010615346
22,GFRA1,GFRA1 (2674),other,False,0.058456447,0.003807655
23,RHOD,RHOD (29984),other,False,0.057298053,-0.0004163111
24,CEACAM5,CEACAM5 (1048),other,False,0.05712822,-0.00090354384
25,AGR2,AGR2 (10551),other,False,0.056385484,0.002856447
26,PROM1,PROM1 (8842),other,False,0.053969916,0.00247971
27,HENMT1,HENMT1 (113802),other,False,0.050772525,0.0006498795
28,ID3,ID3 (3399),other,False,0.04965315,0.0038990506
29,CLDN7,CLDN7 (1366),other,False,0.049585775,0.0078360075
30,TMEM54,TMEM54 (113452),other,False,0.04653386,0.0068718125
31,AFAP1,AFAP1 (60312),other,False,0.046294615,0.004631497
32,GBP3,GBP3 (2635),other,False,0.04522452,0.006763507
33,AKR1C1,AKR1C1 (1645),other,False,0.045150213,0.009374127
34,SLCO1B3,SLCO1B3 (28234),other,False,0.04513019,0.004704356
35,CYGB,CYGB (114757),other,False,0.0433404,-0.00018290673
36,HSPA2,HSPA2 (3306),other,False,0.04138267,3.2994307e-05
37,GPNMB,GPNMB (10457),other,False,0.04092822,0.007103586
38,TES,TES (26136),other,False,0.04008766,0.003056969
39,ATP1A3,ATP1A3 (478),other,False,0.039330248,-0.0045355097
40,MLF1,MLF1 (4291),other,False,0.038369194,0.0008070851
41,PIMREG,PIMREG (54478),other,False,0.037080042,0.0032871284
42,SPRR1B,SPRR1B (6699),other,False,0.036734484,4.3213545e-06
43,FBN2,FBN2 (2201),other,False,0.035663493,0.001057744
44,IGF2BP3,IGF2BP3 (10643),other,False,0.033549402,0.0021321813
45,PODXL,PODXL (5420),other,False,0.031317145,0.00044384078
46,DTX3,DTX3 (196403),other,False,0.030901765,-0.00019481285
47,CRYBG2,CRYBG2 (55057),other,False,0.029996691,0.0030162777
48,LTB,LTB (4050),other,False,0.029850679,-0.0005010126
49,RHOBTB3,RHOBTB3 (22836),other,False,0.029428748,0.002274292
50,DAB2,DAB2 (1601),other,False,0.029303947,0.0038190053
