n,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,cancer_type
179,0.994413407821229,0.0,0.0,0.0,0.949438202247191,0.1,0.00558659217877095,PCPG
286,0.9230769230769231,0.0,0.0,0.0,0.7334710743801653,0.2633228995880487,0.07692307692307693,CESC
280,0.9785714285714285,0.0,0.0,0.0,0.6624087591240877,0.045580797984136556,0.02142857142857143,KIRP
81,0.8271604938271605,0.0,0.0,0.0,0.6481876332622601,0.28232745260119774,0.1728395061728395,MESO
490,0.9938775510204082,0.0,0.0,0.0,0.6475017111567419,0.024891443167305235,0.006122448979591836,THCA
129,0.9922480620155039,0.0,0.0,0.0,0.6171875,0.02,0.007751937984496124,TGCT
149,0.6577181208053692,0.0,0.0,0.0,0.6106442577030813,0.5265449775222817,0.3422818791946309,GBM
36,0.8888888888888888,0.0,0.0,0.0,0.5859375,0.25324463118580764,0.1111111111111111,CHOL
477,0.16352201257861634,0.0,0.0,0.0,0.5568086883876358,0.8445365847965809,0.8364779874213837,LUSC
510,0.515686274509804,0.0,0.0,0.0,0.5509921337417835,0.5018951441440767,0.4843137254901961,LGG
436,0.6077981651376146,0.0,0.0,0.0,0.5506123800066203,0.4397707729228312,0.3922018348623853,UCEC
494,0.8825910931174089,0.0,0.0,0.0,0.5387140145523568,0.1529990350717792,0.11740890688259109,PRAD
412,0.5121359223300971,0.0,0.0,0.0,0.5328098842281483,0.4925538221723494,0.4878640776699029,STAD
287,0.40418118466898956,0.0,0.0,0.0,0.5280298447267594,0.6504534239844351,0.5958188153310104,COAD
234,0.6410256410256411,0.0,0.0,0.0,0.526904761904762,0.37191001592019546,0.358974358974359,SARC
103,0.912621359223301,0.0,0.0,0.0,0.5094562647754136,0.11239143935274931,0.08737864077669903,SKCM
358,0.7011173184357542,0.0,0.0,0.0,0.5052686450459842,0.3040833132996761,0.2988826815642458,LIHC
509,0.4950884086444008,0.0,0.0,0.0,0.49221789883268485,0.4970061761008338,0.5049115913555993,LUAD
366,0.9699453551912568,0.0,0.0,0.0,0.4911651728553137,0.052903211530245714,0.030054644808743168,KIRC
406,0.5172413793103449,0.0,0.0,0.0,0.4892614188532556,0.4810969039266496,0.4827586206896552,BLCA
789,0.6653992395437263,0.0,0.0,0.0,0.4685642135642136,0.303841919420118,0.33460076045627374,BRCA
79,0.810126582278481,0.0,0.0,0.0,0.45625000000000004,0.23786690480353062,0.189873417721519,ACC
89,0.14606741573033707,0.0,0.0,0.0,0.44129554655870445,0.8200617213839494,0.8539325842696629,READ
499,0.29458917835671344,0.0,0.0,0.0,0.4321273964131107,0.6586854459479925,0.7054108216432866,HNSC
37,0.8648648648648649,0.0,0.0,0.0,0.41875,0.1340499194847021,0.13513513513513514,DLBC
66,0.6818181818181818,0.0,0.0,0.0,0.39999999999999997,0.3113672071443886,0.3181818181818182,KICH
183,0.14207650273224043,0.0,0.0,0.0,0.370406663400294,0.7947572633748861,0.8579234972677595,ESCA
170,0.3941176470588235,0.0,0.0,0.0,0.35299231995362984,0.499263426880014,0.6058823529411764,PAAD
118,0.9661016949152542,0.0,0.0,0.0,0.3223684210526315,0.030076767377868973,0.03389830508474576,THYM
57,0.08771929824561403,0.0,0.0,0.0,0.3192307692307692,0.8672471023298425,0.9122807017543859,UCS
80,1.0,0.0,0.0,0.0,,0.0,0.0,UVM
