n,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,cancer_type
179,0.994413407821229,0.0,0.0,0.0,0.9157303370786517,0.0625,0.00558659217877095,PCPG
280,0.9785714285714285,0.0,0.0,0.0,0.7652068126520681,0.11019067846351951,0.02142857142857143,KIRP
286,0.9230769230769231,0.0,0.0,0.0,0.746900826446281,0.2536822075369472,0.07692307692307693,CESC
81,0.8271604938271605,0.0,0.0,0.0,0.6716417910447762,0.2750324638277427,0.1728395061728395,MESO
490,0.9938775510204082,0.0,0.0,0.0,0.6694045174537987,0.026049798826568337,0.006122448979591836,THCA
149,0.6577181208053692,0.0,0.0,0.0,0.6070428171268507,0.5054468866059603,0.3422818791946309,GBM
129,0.9922480620155039,0.0,0.0,0.0,0.5859375,0.018518518518518517,0.007751937984496124,TGCT
36,0.8888888888888888,0.0,0.0,0.0,0.578125,0.27261904761904765,0.1111111111111111,CHOL
366,0.9699453551912568,0.0,0.0,0.0,0.5628681177976953,0.0912857587905548,0.030054644808743168,KIRC
477,0.16352201257861634,0.0,0.0,0.0,0.5531778163357111,0.8430273309365235,0.8364779874213837,LUSC
412,0.5121359223300971,0.0,0.0,0.0,0.5484897785951758,0.4962471081394521,0.4878640776699029,STAD
510,0.515686274509804,0.0,0.0,0.0,0.5408091008451225,0.48495562660484115,0.4843137254901961,LGG
79,0.810126582278481,0.0,0.0,0.0,0.534375,0.28407929152762634,0.189873417721519,ACC
509,0.4950884086444008,0.0,0.0,0.0,0.5300938793156692,0.5272705808680707,0.5049115913555993,LUAD
287,0.40418118466898956,0.0,0.0,0.0,0.5290885259124823,0.6496309475256665,0.5958188153310104,COAD
494,0.8825910931174089,0.0,0.0,0.0,0.5287883581145207,0.12510031860798804,0.11740890688259109,PRAD
103,0.912621359223301,0.0,0.0,0.0,0.5271867612293144,0.11017522843199462,0.08737864077669903,SKCM
234,0.6410256410256411,0.0,0.0,0.0,0.5237301587301587,0.3667105026117313,0.358974358974359,SARC
436,0.6077981651376146,0.0,0.0,0.0,0.517069403067417,0.4100872516705959,0.3922018348623853,UCEC
406,0.5172413793103449,0.0,0.0,0.0,0.5040330417881438,0.49617636308429264,0.4827586206896552,BLCA
358,0.7011173184357542,0.0,0.0,0.0,0.49193878690844095,0.29568329056097825,0.2988826815642458,LIHC
789,0.6653992395437263,0.0,0.0,0.0,0.47650072150072154,0.3053618912317604,0.33460076045627374,BRCA
37,0.8648648648648649,0.0,0.0,0.0,0.4625,0.14256644880174293,0.13513513513513514,DLBC
89,0.14606741573033707,0.0,0.0,0.0,0.45040485829959515,0.8194743990148927,0.8539325842696629,READ
499,0.29458917835671344,0.0,0.0,0.0,0.44478586889301175,0.6653908763740424,0.7054108216432866,HNSC
66,0.6818181818181818,0.0,0.0,0.0,0.40317460317460313,0.35170017949283794,0.3181818181818182,KICH
118,0.9661016949152542,0.0,0.0,0.0,0.3793859649122807,0.03295046100953274,0.03389830508474576,THYM
183,0.14207650273224043,0.0,0.0,0.0,0.37212150906418423,0.8017580598855245,0.8579234972677595,ESCA
170,0.3941176470588235,0.0,0.0,0.0,0.35603535719460944,0.5021341217818313,0.6058823529411764,PAAD
57,0.08771929824561403,0.0,0.0,0.0,0.32307692307692304,0.8670850160125523,0.9122807017543859,UCS
80,1.0,0.0,0.0,0.0,,0.0,0.0,UVM
