n,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,cancer_type
103,0.4368932038834951,0.13432835820895522,1.0,0.23684210526315788,0.9716312056737588,0.7230778480778481,0.08737864077669903,SKCM
179,0.8212290502793296,0.030303030303030304,1.0,0.058823529411764705,0.9382022471910112,0.08333333333333333,0.00558659217877095,PCPG
89,0.8764044943820225,0.8735632183908046,1.0,0.9325153374233128,0.8785425101214575,0.9635646556327148,0.8539325842696629,READ
79,0.7848101265822784,0.4583333333333333,0.7333333333333333,0.5641025641025641,0.8645833333333333,0.5657619312543166,0.189873417721519,ACC
66,0.5303030303030303,0.3958333333333333,0.9047619047619048,0.5507246376811594,0.8613756613756615,0.7767706094563462,0.3181818181818182,KICH
436,0.4610091743119266,0.4207920792079208,0.9941520467836257,0.591304347826087,0.8594284453271543,0.8196391629910899,0.3922018348623853,UCEC
36,0.25,0.12903225806451613,1.0,0.22857142857142856,0.859375,0.6458333333333333,0.1111111111111111,CHOL
510,0.703921568627451,0.6263157894736842,0.9635627530364372,0.759170653907496,0.8551438555440959,0.8067666859455553,0.4843137254901961,LGG
358,0.45251396648044695,0.34915254237288135,0.9626168224299065,0.5124378109452736,0.847600253192836,0.7669238028708778,0.2988826815642458,LIHC
789,0.35361216730038025,0.34067357512953367,0.9962121212121212,0.5077220077220077,0.8354184704184704,0.7212251197994307,0.33460076045627374,BRCA
81,0.6666666666666666,0.3142857142857143,0.7857142857142857,0.4489795918367347,0.8294243070362474,0.5629378613322742,0.1728395061728395,MESO
37,0.2702702702702703,0.15625,1.0,0.2702702702702703,0.8,0.3164502164502164,0.13513513513513514,DLBC
412,0.49514563106796117,0.4914004914004914,0.9950248756218906,0.6578947368421053,0.7932847610289783,0.7830712697168198,0.4878640776699029,STAD
406,0.6305418719211823,0.5692771084337349,0.9642857142857143,0.7159090909090909,0.7881438289601554,0.7489081084237764,0.4827586206896552,BLCA
509,0.5127701375245579,0.5089820359281437,0.9922178988326849,0.6728232189973615,0.7827959977765425,0.7658387725334863,0.5049115913555993,LUAD
366,0.5628415300546448,0.04294478527607362,0.6363636363636364,0.08045977011494253,0.7682458386683738,0.3155908651420304,0.030054644808743168,KIRC
149,0.5637583892617449,0.43,0.8431372549019608,0.5695364238410596,0.7549019607843137,0.6158580514199969,0.3422818791946309,GBM
287,0.6202090592334495,0.6123188405797102,0.9883040935672515,0.756152125279642,0.7511090945755192,0.8007817241660246,0.5958188153310104,COAD
494,0.1720647773279352,0.12419700214132762,1.0,0.22095238095238096,0.7356453653906991,0.3068064131167999,0.11740890688259109,PRAD
57,0.9122807017543859,0.9122807017543859,1.0,0.9541284403669725,0.7038461538461539,0.9597527996185743,0.9122807017543859,UCS
280,0.7357142857142858,0.04054054054054054,0.5,0.075,0.6806569343065694,0.36259966130875326,0.02142857142857143,KIRP
286,0.12237762237762238,0.08058608058608059,1.0,0.14915254237288136,0.6799242424242424,0.19475599665012552,0.07692307692307693,CESC
234,0.6239316239316239,0.4818181818181818,0.6309523809523809,0.5463917525773195,0.6661904761904761,0.4909612037727409,0.358974358974359,SARC
129,0.14728682170542637,0.009009009009009009,1.0,0.017857142857142856,0.6640625,0.022727272727272728,0.007751937984496124,TGCT
170,0.611764705882353,0.6178343949044586,0.941747572815534,0.7461538461538462,0.6329517461237503,0.7479862324042756,0.6058823529411764,PAAD
499,0.7074148296593187,0.708502024291498,0.9943181818181818,0.8274231678486997,0.6267393320964749,0.7902307617978043,0.7054108216432866,HNSC
477,0.8385744234800838,0.8382352941176471,1.0,0.912,0.6249919670972303,0.8651123818060162,0.8364779874213837,LUSC
118,0.0847457627118644,0.03571428571428571,1.0,0.06896551724137931,0.5833333333333333,0.17365901072791418,0.03389830508474576,THYM
183,0.8524590163934426,0.8571428571428571,0.9936305732484076,0.9203539823008849,0.5761881430671241,0.8893903787032893,0.8579234972677595,ESCA
490,0.4959183673469388,0.0040650406504065045,0.3333333333333333,0.008032128514056224,0.5749486652977412,0.03567818210618781,0.006122448979591836,THCA
80,0.7125,0.0,0.0,0.0,,0.0,0.0,UVM
