class,rank,gene_full,gene_symbol,mean_xgb_importance
Missense,1,TNFRSF14 (8764),TNFRSF14,0.0026120477239601316
Missense,2,GABRE (2564),GABRE,0.002145863440819085
Missense,3,GFRA1 (2674),GFRA1,0.0020108416210860014
Missense,4,NRCAM (4897),NRCAM,0.0017934640287421643
Missense,5,HMGA2 (8091),HMGA2,0.0017142686323495583
Missense,6,CA8 (767),CA8,0.0017073752969736233
Missense,7,MTSS1 (9788),MTSS1,0.0016593710170127451
Missense,8,OAS1 (4938),OAS1,0.0016250861168373375
Missense,9,VWA1 (64856),VWA1,0.0015687928185798227
Missense,10,AKR1C3 (8644),AKR1C3,0.0015590704104397445
Missense,11,CDCP1 (64866),CDCP1,0.0015364424441941082
Missense,12,TFF3 (7033),TFF3,0.0015313043026253582
Missense,13,DNER (92737),DNER,0.0015303308027796447
Missense,14,SLFN13 (146857),SLFN13,0.0014824788930127397
Missense,15,DLX1 (1745),DLX1,0.001463769847759977
Truncating,1,C1QTNF1 (114897),C1QTNF1,0.004103348834905774
Truncating,2,RAB31 (11031),RAB31,0.0038742395117878914
Truncating,3,ADORA1 (134),ADORA1,0.0033186532091349363
Truncating,4,PIR (8544),PIR,0.0032327802218787838
Truncating,5,TESC (54997),TESC,0.0031117756967432796
Truncating,6,CLEC2B (9976),CLEC2B,0.0031051849480718376
Truncating,7,TMEM45A (55076),TMEM45A,0.003088942967588082
Truncating,8,CSRP1 (1465),CSRP1,0.0029661762062460186
Truncating,9,NFIX (4784),NFIX,0.002900924702407792
Truncating,10,GYG2 (8908),GYG2,0.002894656825810671
Truncating,11,MAP3K7CL (56911),MAP3K7CL,0.002762664674082771
Truncating,12,ANXA4 (307),ANXA4,0.0027175121707841755
Truncating,13,PRSS12 (8492),PRSS12,0.0025038152060005816
Truncating,14,PPFIBP2 (8495),PPFIBP2,0.0024685807409696283
Truncating,15,EGFL7 (51162),EGFL7,0.0024667825258802623
Other,1,VGF (7425),VGF,0.0024197604623623194
Other,2,TNFAIP2 (7127),TNFAIP2,0.002154611248988658
Other,3,SEPTIN10 (151011),SEPTIN10,0.002050992537260754
Other,4,VEPH1 (79674),VEPH1,0.0019737312861252574
Other,5,ESRP2 (80004),ESRP2,0.0019123195437714458
Other,6,CEMIP2 (23670),CEMIP2,0.0019054561736993492
Other,7,PYCARD (29108),PYCARD,0.0019041330670006573
Other,8,LYL1 (4066),LYL1,0.0018428333147312514
Other,9,SLFN11 (91607),SLFN11,0.001832411385839805
Other,10,SNRPN (6638),SNRPN,0.0018125262926332653
Other,11,ENG (2022),ENG,0.0017901223618537188
Other,12,RAB17 (64284),RAB17,0.001771973806899041
Other,13,STXBP2 (6813),STXBP2,0.0017529570002807304
Other,14,PRKAR2B (5577),PRKAR2B,0.0017464188567828387
Other,15,FBLN5 (10516),FBLN5,0.0017292854172410443
